island,site,month,year,cleanup.type,people,lbs,item,Source,num.of.item,meters
STT,STEER,4,2018,mangrove,126,3022,Buoys/Floats/Boat parts,ocean,56,2414
STT,STEER,4,2018,mangrove,126,3022,Caps (Metal & Plastic Combined),land,96,2414
STT,STEER,4,2018,mangrove,126,3022,Car Parts,land,1,2414
STT,STEER,4,2018,mangrove,126,3022,Clothes,land,94,2414
STT,STEER,4,2018,mangrove,126,3022,Construction Materials,land,319,2414
STT,STEER,4,2018,mangrove,126,3022,Fishing Line,ocean,299,2414
STT,STEER,4,2018,mangrove,126,3022,Fishing Materials (other),ocean,1,2414
STT,STEER,4,2018,mangrove,126,3022,Foam Pieces,land,585,2414
STT,STEER,4,2018,mangrove,126,3022,"Food Wrappers (candy, chips, etc.)",land,181,2414
STT,STEER,4,2018,mangrove,126,3022,Glass Beverage Bottles,land,307,2414
STT,STEER,4,2018,mangrove,126,3022,Glass Pieces,land,12,2414
STT,STEER,4,2018,mangrove,126,3022,Light Bulbs,land,2,2414
STT,STEER,4,2018,mangrove,126,3022,Lighters,land,6,2414
STT,STEER,4,2018,mangrove,126,3022,Metal Beverage Cans,land,464,2414
STT,STEER,4,2018,mangrove,126,3022,Metal Pieces,land,138,2414
STT,STEER,4,2018,mangrove,126,3022,Oil/Lube Bottles,land,47,2414
STT,STEER,4,2018,mangrove,126,3022,Other,other,78,2414
STT,STEER,4,2018,mangrove,126,3022,"Paper (Bags, Pieces)",land,15,2414
STT,STEER,4,2018,mangrove,126,3022,"Paper Food Containers/Utinsels (plates, cups, lids, etc.)",land,21,2414
STT,STEER,4,2018,mangrove,126,3022,Personal Hygiene,land,9,2414
STT,STEER,4,2018,mangrove,126,3022,Plastic Bags (grocery),land,328,2414
STT,STEER,4,2018,mangrove,126,3022,Plastic Beverage Bottles,land,1765,2414
STT,STEER,4,2018,mangrove,126,3022,Plastic Bottles (non-drinking),land,527,2414
STT,STEER,4,2018,mangrove,126,3022,"Plastic Food Containers/Utinsels (plates, cups, lids, etc.)",land,476,2414
